"strain,-","stress,MPa","stress,Pa"
0.0,1636.0011080097174,1636001108.0097175
0.0005,1639.6178466596155,1639617846.6596155
0.001,1643.0581948972513,1643058194.8972514
0.0015,1646.3307553839036,1646330755.3839035
0.002,1649.4437112241405,1649443711.2241406
0.0025,1652.4048464278412,1652404846.4278412
0.003,1655.221565374271,1655221565.374271
0.0035,1657.9009113268849,1657900911.3268847
0.004,1660.4495840451502,1660449584.0451503
0.0045,1662.8739565374347,1662873956.5374346
0.005,1665.180090996843,1665180090.996843
0.0055,1667.3737539598555,1667373753.9598556
0.006,1669.4604307256704,1669460430.7256703
0.0065,1671.4453390723072,1671445339.072307
0.007,1673.333442303768,1673333442.303768
0.0075,1675.1294616608795,1675129461.6608796
0.008,1676.837888126854,1676837888.1268542
0.0085,1678.4629936570839,1678462993.657084
0.009,1680.0088418612545,1680008841.8612545
0.0095,1681.4792981644823,1681479298.1644824
0.01,1682.878039472891,1682878039.472891
0.0105,1684.2085633677898,1684208563.3677897
0.011,1685.4741968514465,1685474196.8514466
0.0115,1686.6781046663268,1686678104.6663268
0.012,1687.8232972085957,1687823297.2085958
0.0125,1688.9126380556763,1688912638.0556762
0.013,1689.9488511266827,1689948851.1266828
0.0135,1690.9345274936363,1690934527.4936364
0.014,1691.8721318604944,1691872131.8604944
0.0145,1692.764008726192,1692764008.726192
0.015,1693.6123882471118,1693612388.2471118
0.0155,1694.4193918136327,1694419391.8136327
0.016,1695.1870373547129,1695187037.354713
0.0165,1695.9172443837606,1695917244.3837607
0.017,1696.6118387984177,1696611838.7984178
0.0175,1697.2725574462538,1697272557.4462538
0.018,1697.9010524677892,1697901052.4677892
0.0185,1698.4988954277067,1698498895.4277067
0.019,1699.0675812445802,1699067581.2445803
0.0195,1699.60853192895,1699608531.92895
0.02,1700.1231001390893,1700123100.1390893
0.0205,1700.6125725633535,1700612572.5633535
0.021,1701.0781731375714,1701078173.1375713
0.0215,1701.5210661055216,1701521066.1055217
0.022,1701.9423589301473,1701942358.9301474
0.0225,1702.343105062791,1702343105.0627909
0.023,1702.724306577371,1702724306.577371
0.0235,1703.0869166760865,1703086916.6760864
0.024,1703.4318420729219,1703431842.072922
0.0245,1703.7599452609008,1703759945.2609007
0.025,1704.0720466687694,1704072046.6687694
0.0255,1704.3689267124946,1704368926.7124946
0.026,1704.6513277467106,1704651327.7467105
0.0265,1704.9199559209908,1704919955.9209907
0.027,1705.1754829455908,1705175482.9455907
0.0275,1705.4185477710726,1705418547.7710726
0.028,1705.6497581860142,1705649758.1860142
0.0285,1705.8696923367966,1705869692.3367965
0.029,1706.0789001732712,1706078900.1732712
0.0295,1706.2779048239213,1706277904.8239212
0.03,1706.4672039039544,1706467203.9039545
0.0305,1706.6472707595997,1706647270.7595997
0.031,1706.81855565172,1706818555.65172
0.0315,1706.9814868816989,1706981486.8816988
0.032,1707.1364718624163,1707136471.8624163
0.0325,1707.2838981369925,1707283898.1369925
0.033,1707.424134347849,1707424134.3478491
0.0335,1707.557531158505,1707557531.158505
0.034,1707.6844221304195,1707684422.1304195
0.0345,1707.805124557069,1707805124.5570688
0.035,1707.919940257344,1707919940.257344
0.0355,1708.0291563302571,1708029156.3302572
0.036,1708.1330458728369,1708133045.8728368
0.0365,1708.2318686630135,1708231868.6630135
0.037,1708.3258718091995,1708325871.8091996
0.0375,1708.4152903681884,1708415290.3681884
0.038,1708.5003479329193,1708500347.9329193
0.0385,1708.5812571915767,1708581257.1915767
0.039,1708.6582204594195,1708658220.4594195
0.0395,1708.7314301846766,1708731430.1846766
0.04,1708.8010694297664,1708801069.4297664
0.0405,1708.8673123290487,1708867312.3290486
0.041,1708.9303245242504,1708930324.5242505
0.0415,1708.9902635786575,1708990263.5786574
0.042,1709.0472793711037,1709047279.3711038
0.0425,1709.1015144707467,1709101514.4707468
0.043,1709.1531044935646,1709153104.4935646
0.0435,1709.2021784414667,1709202178.4414666
0.044,1709.2488590248659,1709248859.0248659
0.0445,1709.2932629695174,1709293262.9695175
0.045,1709.3355013083947,1709335501.3083947
0.0455,1709.3756796593304,1709375679.6593304
0.046,1709.413898489114,1709413898.489114
0.0465,1709.4502533647128,1709450253.3647127
0.047,1709.4848351922385,1709484835.1922386
0.0475,1709.5177304442593,1709517730.4442594
0.048,1709.5490213760274,1709549021.3760273
0.0485,1709.5787862311586,1709578786.2311585
0.049,1709.6070994372835,1709607099.4372835
0.0495,1709.6340317921542,1709634031.7921543
0.05,1709.659650640676,1709659650.640676
0.0505,1709.6840200433048,1709684020.043305
0.051,1709.7072009362312,1709707200.9362311
0.0515,1709.729251283753,1709729251.283753
0.052,1709.7502262232165,1709750226.2232165
0.0525,1709.770178202887,1709770178.202887
0.053,1709.7891571130995,1709789157.1130996
0.0535,1709.807210411007,1709807210.411007
0.054,1709.8243832392516,1709824383.2392516
0.0545,1709.840718538842,1709840718.5388422
0.055,1709.8562571565299,1709856257.15653
0.0555,1709.871037946947,1709871037.9469469
0.056,1709.8850978697626,1709885097.8697627
0.0565,1709.8984720821022,1709898472.0821023
0.057,1709.9111940264577,1709911194.0264578
0.0575,1709.9232955143116,1709923295.5143116
0.058,1709.9348068056822,1709934806.8056822
0.0585,1709.94575668479,1709945756.68479
0.059,1709.9561725320316,1709956172.5320315
0.0595,1709.9660803924469,1709966080.392447
0.06,1709.9755050408435,1709975505.0408435
0.0605,1709.9844700437482,1709984470.0437481
0.061,1709.9929978183345,1709992997.8183346
0.0615,1710.0011096884773,1710001109.6884773
0.062,1710.0088259380746,1710008825.9380746
0.0625,1710.016165861766,1710016165.861766
0.063,1710.0231478131816,1710023147.8131816
0.0635,1710.0297892508338,1710029789.2508337
0.064,1710.036106781774,1710036106.7817738
0.0645,1710.042116203117,1710042116.2031171
0.065,1710.0478325415447,1710047832.5415447
0.0655,1710.0532700908782,1710053270.0908782
0.066,1710.058442447821,1710058442.4478211
0.0665,1710.0633625459582,1710063362.5459583
0.067,1710.0680426880954,1710068042.6880953
0.0675,1710.072494577024,1710072494.577024
0.068,1710.0767293447836,1710076729.3447835
0.0685,1710.0807575804981,1710080757.5804982
0.069,1710.084589356853,1710084589.356853
0.0695,1710.0882342552839,1710088234.2552838
0.07,1710.0917013899339,1710091701.3899338
0.0705,1710.094999430444,1710094999.430444
0.071,1710.0981366236326,1710098136.6236327
0.0715,1710.1011208141153,1710101120.8141153
0.072,1710.1039594639217,1710103959.4639218
0.0725,1710.1066596711535,1710106659.6711535
0.073,1710.1092281877345,1710109228.1877346
0.0735,1710.111671436293,1710111671.436293
0.074,1710.1139955262222,1710113995.5262222
0.0745,1710.1162062689564,1710116206.2689564
0.075,1710.1183091925031,1710118309.1925032
0.0755,1710.1203095552657,1710120309.5552657
0.076,1710.1222123591926,1710122212.3591926
0.0765,1710.124022362284,1710124022.362284
0.077,1710.1257440904892,1710125744.0904891
0.0775,1710.1273818490256,1710127381.8490255
0.078,1710.1289397331414,1710128939.7331414
0.0785,1710.1304216383578,1710130421.6383579
0.079,1710.1318312702097,1710131831.2702096
0.0795,1710.1331721535098,1710133172.1535099
0.08,1710.1344476411646,1710134447.6411645
0.0805,1710.135660922557,1710135660.922557
0.081,1710.136815031522,1710136815.031522
0.0815,1710.137912853933,1710137912.8539329
0.082,1710.138957134917,1710138957.134917
0.0825,1710.1399504857204,1710139950.4857204
0.083,1710.140895390237,1710140895.3902369
0.0835,1710.1417942112198,1710141794.2112198
0.084,1710.1426491961895,1710142649.1961894
0.0845,1710.143462483053,1710143462.4830532
0.085,1710.1442361054512,1710144236.1054513
0.0855,1710.1449719978427,1710144971.9978428
0.086,1710.1456720003414,1710145672.0003414
0.0865,1710.146337863318,1710146337.863318
0.087,1710.1469712517764,1710146971.2517765
0.0875,1710.1475737495175,1710147573.7495174
0.088,1710.148146863099,1710148146.863099
0.0885,1710.1486920256036,1710148692.0256035
0.089,1710.149210600221,1710149210.6002212
0.0895,1710.1497038836578,1710149703.883658
0.09,1710.1501731093792,1710150173.1093793
0.0905,1710.150619450694,1710150619.450694
0.091,1710.1510440236875,1710151044.0236876
0.0915,1710.1514478900133,1710151447.8900132
0.092,1710.1518320595474,1710151832.0595474
0.0925,1710.1521974929137,1710152197.4929137
0.093,1710.1525451038858,1710152545.103886
0.0935,1710.152875761672,1710152875.761672
0.094,1710.1531902930888,1710153190.2930887
0.0945,1710.1534894846284,1710153489.4846284
0.095,1710.1537740844258,1710153774.0844257
0.0955,1710.154044804128,1710154044.804128
0.096,1710.1543023206757,1710154302.3206756
0.0965,1710.1545472779942,1710154547.2779942
0.097,1710.1547802886041,1710154780.288604
0.0975,1710.1550019351532,1710155001.9351532
0.098,1710.1552127718735,1710155212.7718735
0.0985,1710.1554133259663,1710155413.3259664
0.099,1710.1556040989212,1710155604.0989213
0.0995,1710.1557855677702,1710155785.5677702
0.1,1710.1559581862796,1710155958.1862795
0.1005,1710.1561223860856,1710156122.3860855
0.101,1710.156278577773,1710156278.577773
0.1015,1710.1564271519026,1710156427.1519027
0.102,1710.156568479987,1710156568.4799871
0.1025,1710.1567029154198,1710156702.9154198
0.103,1710.1568307943596,1710156830.7943597
0.1035,1710.1569524365705,1710156952.4365704
0.104,1710.1570681462213,1710157068.1462212
0.1045,1710.1571782126462,1710157178.2126462
0.105,1710.1572829110685,1710157282.9110684
0.1055,1710.1573825032888,1710157382.5032887
0.106,1710.1574772383397,1710157477.2383397
0.1065,1710.1575673531079,1710157567.353108
0.107,1710.1576530729276,1710157653.0729275
0.1075,1710.1577346121423,1710157734.6121423
0.108,1710.1578121746431,1710157812.174643
0.1085,1710.1578859543763,1710157885.9543762
0.109,1710.1579561358299,1710157956.13583
0.1095,1710.1580228944936,1710158022.8944936
0.11,1710.1580863972993,1710158086.3972993
0.1105,1710.1581468030367,1710158146.8030367
0.111,1710.1582042627517,1710158204.2627518
0.1115,1710.1582589201237,1710158258.9201236
0.112,1710.1583109118244,1710158310.9118245
0.1125,1710.15836036786,1710158360.36786
0.113,1710.1584074118966,1710158407.4118967
0.1135,1710.1584521615684,1710158452.1615684
0.114,1710.1584947287733,1710158494.7287734
0.1145,1710.1585352199513,1710158535.2199514
0.115,1710.1585737363514,1710158573.7363515
0.1155,1710.1586103742845,1710158610.3742845
0.116,1710.1586452253648,1710158645.225365
0.1165,1710.158678376738,1710158678.376738
0.117,1710.1587099112996,1710158709.9112997
0.1175,1710.1587399079028,1710158739.9079027
0.118,1710.1587684415542,1710158768.4415543
0.1185,1710.1587955836035,1710158795.5836034
0.119,1710.1588214019193,1710158821.4019194
0.1195,1710.1588459610612,1710158845.9610612
0.12,1710.1588693224394,1710158869.3224394
0.1205,1710.1588915444702,1710158891.54447
0.121,1710.1589126827196,1710158912.6827195
0.1215,1710.1589327900447,1710158932.7900448
0.122,1710.1589519167237,1710158951.9167237
0.1225,1710.158970110584,1710158970.110584
0.123,1710.158987417119,1710158987.417119
0.1235,1710.1590038796048,1710159003.8796048
0.124,1710.1590195392055,1710159019.5392056
0.1245,1710.1590344350786,1710159034.4350786
0.125,1710.1590486044713,1710159048.6044712
0.1255,1710.1590620828147,1710159062.0828147
0.126,1710.1590749038116,1710159074.9038117
0.1265,1710.1590870995212,1710159087.0995212
0.127,1710.159098700439,1710159098.700439
0.1275,1710.1591097355736,1710159109.7355735
0.128,1710.159120232518,1710159120.232518
0.1285,1710.1591302175207,1710159130.2175207
0.129,1710.159139715549,1710159139.715549
0.1295,1710.159148750353,1710159148.750353
0.13,1710.1591573445246,1710159157.3445246
0.1305,1710.1591655195534,1710159165.5195534
0.131,1710.1591732958814,1710159173.2958813
0.1315,1710.1591806929534,1710159180.6929533
0.132,1710.159187729266,1710159187.729266
0.1325,1710.1591944224137,1710159194.4224138
0.133,1710.1592007891327,1710159200.7891326
0.1335,1710.159206845343,1710159206.845343
0.134,1710.1592126061887,1710159212.6061888
0.1345,1710.1592180860746,1710159218.0860746
0.135,1710.1592232987034,1710159223.2987034
0.1355,1710.1592282571091,1710159228.2571092
0.136,1710.1592329736907,1710159232.9736907
0.1365,1710.159237460242,1710159237.4602418
0.137,1710.1592417279812,1710159241.7279813
0.1375,1710.1592457875806,1710159245.7875807
0.138,1710.1592496491912,1710159249.6491911
0.1385,1710.1592533224687,1710159253.3224688
0.139,1710.1592568165981,1710159256.8165982
0.1395,1710.1592601403172,1710159260.1403172
0.14,1710.1592633019363,1710159263.3019364
0.1405,1710.1592663093616,1710159266.3093615
0.141,1710.159269170113,1710159269.170113
0.1415,1710.159271891344,1710159271.8913438
0.142,1710.159274479859,1710159274.479859
0.1425,1710.1592769421304,1710159276.9421303
0.143,1710.1592792843157,1710159279.2843158
0.1435,1710.1592815122713,1710159281.5122712
0.144,1710.159283631568,1710159283.6315682
0.1445,1710.1592856475056,1710159285.6475055
0.145,1710.1592875651247,1710159287.5651248
0.1455,1710.1592893892202,1710159289.3892202
0.146,1710.1592911243538,1710159291.124354
0.1465,1710.1592927748638,1710159292.774864
0.147,1710.1592943448777,1710159294.3448777
0.1475,1710.159295838321,1710159295.838321
0.148,1710.159297258928,1710159297.258928
0.1485,1710.1592986102514,1710159298.6102514
0.149,1710.15929989567,1710159299.8956702
0.1495,1710.159301118398,1710159301.118398
0.15,1710.1593022814927,1710159302.2814927
0.1505,1710.1593033878628,1710159303.3878627
0.151,1710.1593044402746,1710159304.4402745
0.1515,1710.1593054413595,1710159305.4413595
0.152,1710.159306393621,1710159306.393621
0.1525,1710.1593072994401,1710159307.2994401
0.153,1710.159308161082,1710159308.161082
0.1535,1710.159308980701,1710159308.9807012
0.154,1710.1593097603468,1710159309.760347
0.1545,1710.159310501969,1710159310.501969
0.155,1710.1593112074215,1710159311.2074215
0.1555,1710.159311878469,1710159311.878469
0.156,1710.159312516789,1710159312.516789
0.1565,1710.1593131239777,1710159313.1239777
0.157,1710.1593137015534,1710159313.7015533
0.1575,1710.1593142509607,1710159314.2509608
0.158,1710.1593147735728,1710159314.7735727
0.1585,1710.1593152706969,1710159315.2706969
0.159,1710.1593157435761,1710159315.743576
0.1595,1710.1593161933927,1710159316.1933928
0.16,1710.1593166212713,1710159316.6212714
0.1605,1710.1593170282822,1710159317.0282822
0.161,1710.1593174154427,1710159317.4154427
0.1615,1710.1593177837215,1710159317.7837214
0.162,1710.1593181340388,1710159318.134039
0.1625,1710.159318467271,1710159318.467271
0.163,1710.1593187842514,1710159318.7842515
0.1635,1710.1593190857725,1710159319.0857725
0.164,1710.1593193725882,1710159319.3725882
0.1645,1710.1593196454157,1710159319.6454158
0.165,1710.1593199049373,1710159319.9049373
0.1655,1710.1593201518017,1710159320.1518016
0.166,1710.1593203866266,1710159320.3866267
0.1665,1710.159320609999,1710159320.609999
0.167,1710.1593208224772,1710159320.822477
0.1675,1710.1593210245928,1710159321.0245929
0.168,1710.1593212168511,1710159321.2168512
0.1685,1710.1593213997328,1710159321.3997328
0.169,1710.1593215736953,1710159321.5736952
0.1695,1710.1593217391737,1710159321.7391737
0.17,1710.1593218965813,1710159321.8965814
0.1705,1710.1593220463124,1710159322.0463123
0.171,1710.1593221887408,1710159322.1887407
0.1715,1710.159322324223,1710159322.324223
0.172,1710.1593224530975,1710159322.4530976
0.1725,1710.159322575687,1710159322.575687
0.173,1710.1593226922973,1710159322.6922972
0.1735,1710.1593228032207,1710159322.8032207
0.174,1710.1593229087343,1710159322.9087343
0.1745,1710.159323009102,1710159323.009102
0.175,1710.1593231045747,1710159323.1045747
0.1755,1710.1593231953912,1710159323.1953912
0.176,1710.1593232817784,1710159323.2817783
0.1765,1710.1593233639524,1710159323.3639524
0.177,1710.1593234421189,1710159323.442119
0.1775,1710.159323516473,1710159323.516473
0.178,1710.1593235872008,1710159323.5872009
0.1785,1710.1593236544793,1710159323.6544793
0.179,1710.1593237184766,1710159323.7184765
0.1795,1710.1593237793527,1710159323.7793527
0.18,1710.1593238372598,1710159323.8372598
0.1805,1710.1593238923426,1710159323.8923426
0.181,1710.159323944739,1710159323.944739
0.1815,1710.1593239945803,1710159323.9945803
0.182,1710.1593240419907,1710159324.0419908
0.1825,1710.1593240870886,1710159324.0870886
0.183,1710.1593241299872,1710159324.1299872
0.1835,1710.1593241707938,1710159324.1707938
0.184,1710.15932420961,1710159324.20961
0.1845,1710.1593242465333,1710159324.2465334
0.185,1710.1593242816557,1710159324.2816558
0.1855,1710.159324315065,1710159324.3150651
0.186,1710.159324346845,1710159324.3468451
0.1865,1710.1593243770753,1710159324.3770754
0.187,1710.159324405831,1710159324.405831
0.1875,1710.1593244331846,1710159324.4331846
0.188,1710.1593244592038,1710159324.459204
0.1885,1710.1593244839542,1710159324.4839542
0.189,1710.1593245074976,1710159324.5074975
0.1895,1710.1593245298925,1710159324.5298924
0.19,1710.1593245511954,1710159324.5511954
0.1905,1710.1593245714594,1710159324.5714593
0.191,1710.1593245907347,1710159324.5907347
0.1915,1710.1593246090704,1710159324.6090703
0.192,1710.1593246265115,1710159324.6265116
0.1925,1710.1593246431023,1710159324.6431024
0.193,1710.1593246588839,1710159324.6588838
0.1935,1710.1593246738958,1710159324.6738958
0.194,1710.1593246881755,1710159324.6881754
0.1945,1710.1593247017586,1710159324.7017586
0.195,1710.1593247146795,1710159324.7146795
0.1955,1710.1593247269702,1710159324.7269702
0.196,1710.1593247386613,1710159324.7386613
0.1965,1710.1593247497824,1710159324.7497823
0.197,1710.1593247603612,1710159324.7603612
0.1975,1710.1593247704238,1710159324.770424
0.198,1710.1593247799958,1710159324.779996
